445,129
279,279
657,687
543,940
632,8
745,627
999,958
744,659
860,229
424,162
413,729
476,102
837,919
415,836
849,926
176,151
515,942
835,442
970,552
263,825
630,693
745,440
98,811
335,90
493,18
229,208
144,939
1,493
636,483
588,674
514,915
427,440
769,866
271,39
440,590
297,11
37,335
612,260
612,68
864,636
860,88
141,248
90,272
612,533
80,89
345,140
505,731
892,186
375,974
627,106
89,987
443,752
895,641
840,502
160,909
786,350
49,632
844,899
19,88
566,944
547,84
699,449
908,231
654,677
189,282
533,659
952,184
436,727
211,394
757,995
87,391
976,588
321,208
991,185
856,920
861,712
743,966
898,922
935,878
984,387
264,578
208,112
498,426
6,650
241,170
602,458
878,830
164,528
927,155
947,495
856,510
16,667
196,243
762,672
691,989
34,133
65,439
183,284
955,400
374,263
